id,date,region,latitude,longitude,soil_type,crop_type,month,year,lst_celsius,ndvi,savi,evi,ta_celsius,rh_percent,wind_ms,solar_wm2,vpd_kpa,et0_mm_day,soil_moisture,field_capacity,wilting_point,irrigation_event,cwsi,stress_label
25,2022-02-02,Gabès,33.88,9.79,sandy,Pepper,2,2022,13.14,0.3839,0.3055,0.5696,13.86,88.11,6.18,272.3,0.1883,0.768,0.1714,0.18,0.06,0,0.0058,low
26,2023-09-05,Sidi Bouzid,35.04,9.48,sandy-loam,Potato,9,2023,32.42,0.3983,0.3145,0.5859,31.52,67.56,5.91,516.1,1.5015,1.647,0.2744,0.28,0.1,0,0.2055,low
27,2023-11-14,Gabès,33.88,9.79,sandy,Wheat,11,2023,27.92,0.0654,0.0626,0.1196,22.46,57.24,0.44,236.3,1.1629,0.909,0.0768,0.18,0.06,1,0.6475,medium
28,2022-11-27,Sfax,34.74,10.76,sandy-loam,Pepper,11,2022,17.61,0.3715,0.2976,0.5553,17.44,82.35,5.93,274.4,0.3518,0.858,0.2482,0.28,0.1,0,0.1354,low
29,2023-07-06,Béja,36.73,9.18,loam,Tomato,7,2023,34.35,0.3724,0.2982,0.5563,31.01,39.75,2.26,888.4,2.7075,2.138,0.2248,0.32,0.12,0,0.3943,mild
30,2021-10-20,Sfax,34.74,10.76,sandy-loam,Potato,10,2021,27.85,0.6359,0.4463,0.8207,27.01,80.44,4.8,467.7,0.6975,1.424,0.2674,0.28,0.1,0,0.2053,low
31,2022-06-25,Gafsa,34.43,8.78,sandy,Pepper,6,2022,30.23,0.3327,0.2721,0.5091,28.36,56.33,2.36,741.1,1.6856,1.846,0.1195,0.18,0.06,0,0.2833,mild
32,2021-05-05,Nabeul,36.45,10.73,sandy,Barley,5,2021,28.1,0.1104,0.1027,0.1955,21.4,36.36,5.08,720.7,1.6223,1.546,0.0856,0.18,0.06,0,0.8208,high
33,2023-02-27,Kairouan,35.67,10.1,clay-loam,Wheat,2,2023,10.91,0.1474,0.1341,0.2544,9.79,78.25,1.32,250.1,0.2635,0.641,0.2483,0.36,0.18,0,0.3016,mild
34,2023-01-17,Nabeul,36.45,10.73,sandy,Tomato,1,2023,17.79,0.1439,0.1312,0.2489,14.3,62.57,5.31,178.8,0.6099,0.631,0.0998,0.18,0.06,0,0.5466,medium
35,2022-01-03,Bizerte,37.27,9.87,loam,Citrus,1,2022,14.02,0.1983,0.175,0.3306,10.82,58.51,0.56,193.0,0.5381,0.584,0.1706,0.32,0.12,0,0.6098,medium
36,2021-10-22,Gafsa,34.43,8.78,sandy,Pepper,10,2021,26.21,0.1829,0.1629,0.3082,22.72,64.55,0.44,386.9,0.9794,1.171,0.1169,0.18,0.06,0,0.4556,mild
37,2021-06-02,Kairouan,35.67,10.1,clay-loam,Potato,6,2021,31.33,0.1949,0.1724,0.3257,28.15,49.93,2.51,894.6,1.9095,2.02,0.2707,0.36,0.18,0,0.4262,mild
38,2022-02-03,Gabès,33.88,9.79,sandy,Potato,2,2022,14.34,0.1735,0.1555,0.2942,13.31,64.05,4.11,279.2,0.5494,0.764,0.1128,0.18,0.06,0,0.2474,mild
39,2022-07-01,Sidi Bouzid,35.04,9.48,sandy-loam,Tomato,7,2022,35.77,0.2928,0.2449,0.4593,31.94,39.96,4.52,902.0,2.8454,2.195,0.1623,0.28,0.1,1,0.3788,mild
40,2021-04-15,Nabeul,36.45,10.73,sandy,Pepper,4,2021,14.5,0.3876,0.3078,0.5738,14.79,73.32,2.85,543.5,0.4489,1.116,0.1755,0.18,0.06,0,0.1043,low
41,2021-08-19,Gabès,33.88,9.79,sandy,Potato,8,2021,40.1,0.1179,0.1092,0.2077,32.04,41.24,4.75,869.3,2.7997,2.159,0.0944,0.18,0.06,0,0.7329,medium
42,2023-04-09,Kairouan,35.67,10.1,clay-loam,Tomato,4,2023,23.38,0.0811,0.0769,0.1467,16.26,36.96,2.55,575.0,1.1658,1.2,0.2133,0.36,0.18,1,0.8921,high
43,2023-01-19,Kairouan,35.67,10.1,clay-loam,Pepper,1,2023,15.81,0.2166,0.1892,0.3568,14.42,75.47,4.87,199.9,0.4029,0.669,0.2709,0.36,0.18,0,0.3123,mild
44,2023-02-04,Kairouan,35.67,10.1,clay-loam,Barley,2,2023,13.14,0.1631,0.147,0.2785,11.0,74.0,2.86,303.9,0.3413,0.738,0.2661,0.36,0.18,0,0.3591,mild
45,2022-06-18,Kairouan,35.67,10.1,clay-loam,Olive,6,2022,36.55,0.074,0.0705,0.1345,31.41,39.45,2.57,808.2,2.785,2.056,0.2119,0.36,0.18,0,0.5093,medium
46,2023-02-09,Sfax,34.74,10.76,sandy-loam,Barley,2,2023,22.03,0.0987,0.0925,0.1762,17.93,62.98,4.06,323.5,0.7605,0.944,0.1573,0.28,0.1,1,0.5904,medium
47,2023-10-05,Nabeul,36.45,10.73,sandy,Barley,10,2023,26.12,0.0822,0.0779,0.1486,21.54,50.43,4.09,495.3,1.2747,1.287,0.076,0.18,0.06,1,0.633,medium
48,2022-12-27,Sidi Bouzid,35.04,9.48,sandy-loam,Barley,12,2022,18.46,0.1118,0.104,0.1979,14.0,65.0,0.8,168.7,0.5594,0.607,0.1397,0.28,0.1,0,0.6224,medium
49,2021-04-14,Sidi Bouzid,35.04,9.48,sandy-loam,Pepper,4,2021,27.38,0.1623,0.1463,0.2772,21.83,56.31,2.05,432.4,1.1434,1.211,0.1689,0.28,0.1,0,0.6987,medium
50,2021-04-26,Gabès,33.88,9.79,sandy,Citrus,4,2021,29.43,0.0309,0.0303,0.058,21.37,46.13,3.62,650.3,1.3701,1.468,0.0771,0.18,0.06,1,0.9022,extreme
51,2023-04-25,Kairouan,35.67,10.1,clay-loam,Tomato,4,2023,18.53,0.3506,0.284,0.5306,17.75,76.55,4.04,518.1,0.4765,1.189,0.3183,0.36,0.18,0,0.1961,low
52,2022-11-23,Gafsa,34.43,8.78,sandy,Potato,11,2022,22.29,0.3093,0.2563,0.4802,22.51,85.65,2.92,306.2,0.3913,1.036,0.1652,0.18,0.06,0,0.0732,low
53,2021-08-15,Gafsa,34.43,8.78,sandy,Olive,8,2021,42.58,0.1818,0.162,0.3065,37.09,40.73,6.18,813.0,3.7372,2.3,0.1053,0.18,0.06,0,0.4674,mild
54,2022-01-07,Kairouan,35.67,10.1,clay-loam,Wheat,1,2022,9.16,0.3362,0.2745,0.5133,9.91,79.2,3.33,175.1,0.2539,0.539,0.3419,0.36,0.18,0,0.0361,low
55,2021-11-05,Bizerte,37.27,9.87,loam,Potato,11,2021,15.32,0.3638,0.2926,0.5463,16.21,72.1,4.05,314.8,0.5142,0.887,0.304,0.32,0.12,0,0.0346,low
56,2023-04-18,Sfax,34.74,10.76,sandy-loam,Wheat,4,2023,25.58,0.1687,0.1516,0.287,20.95,48.1,4.88,632.0,1.2865,1.431,0.1619,0.28,0.1,1,0.5728,medium
57,2022-06-05,Gafsa,34.43,8.78,sandy,Tomato,6,2022,44.0,0.01,0.0099,0.0191,32.25,22.28,2.6,818.3,3.7484,2.104,0.0664,0.18,0.06,0,0.9329,extreme
58,2021-03-09,Nabeul,36.45,10.73,sandy,Pepper,3,2021,20.41,0.0427,0.0415,0.0795,13.94,49.17,1.77,431.8,0.8095,0.969,0.0779,0.18,0.06,1,0.9153,extreme
59,2021-03-04,Gabès,33.88,9.79,sandy,Potato,3,2021,25.2,0.1152,0.1069,0.2034,19.72,53.19,1.63,439.9,1.0759,1.156,0.0862,0.18,0.06,0,0.6663,medium
60,2021-09-12,Kairouan,35.67,10.1,clay-loam,Barley,9,2021,29.53,0.2759,0.2329,0.4374,28.74,69.18,2.4,527.0,1.2165,1.57,0.3194,0.36,0.18,0,0.168,low
61,2021-11-14,Gafsa,34.43,8.78,sandy,Potato,11,2021,17.68,0.2747,0.2321,0.4358,17.71,88.08,4.35,229.6,0.2415,0.791,0.1336,0.18,0.06,0,0.1285,low
62,2022-05-19,Kairouan,35.67,10.1,clay-loam,Olive,5,2022,25.66,0.2617,0.2227,0.4187,25.18,72.56,2.76,799.3,0.8785,1.785,0.3437,0.36,0.18,0,0.1767,low
63,2021-12-10,Béja,36.73,9.18,loam,Potato,12,2021,11.04,0.2926,0.2447,0.459,11.56,84.38,3.04,217.2,0.2128,0.636,0.2624,0.32,0.12,0,0.058,low
64,2021-07-22,Sidi Bouzid,35.04,9.48,sandy-loam,Wheat,7,2021,32.51,0.1367,0.1252,0.2378,29.75,48.95,2.38,832.5,2.135,2.016,0.1558,0.28,0.1,1,0.3218,mild
65,2021-02-03,Sfax,34.74,10.76,sandy-loam,Tomato,2,2021,16.53,0.4578,0.3506,0.6508,17.15,73.13,4.43,286.2,0.5257,0.869,0.28,0.28,0.1,0,0.0398,low
66,2021-03-04,Kairouan,35.67,10.1,clay-loam,Wheat,3,2021,16.22,0.3589,0.2894,0.5405,13.06,60.62,1.57,414.4,0.5923,0.923,0.2731,0.36,0.18,0,0.4667,mild
67,2023-01-06,Kairouan,35.67,10.1,clay-loam,Barley,1,2023,13.36,0.2934,0.2452,0.46,12.95,86.56,3.17,208.1,0.2006,0.652,0.3199,0.36,0.18,0,0.2135,low
68,2023-09-08,Béja,36.73,9.18,loam,Potato,9,2023,41.65,0.0336,0.0329,0.063,31.71,29.63,0.55,643.8,3.2915,1.846,0.1389,0.32,0.12,0,0.9422,extreme
69,2021-03-04,Sidi Bouzid,35.04,9.48,sandy-loam,Olive,3,2021,21.31,0.1108,0.1031,0.1962,17.62,61.62,5.2,351.4,0.7733,0.976,0.1558,0.28,0.1,0,0.5596,medium
70,2021-03-19,Gafsa,34.43,8.78,sandy,Pepper,3,2021,19.74,0.2438,0.2096,0.3945,20.42,73.32,5.86,348.3,0.6404,1.048,0.1382,0.18,0.06,0,0.0155,low
71,2021-03-25,Kairouan,35.67,10.1,clay-loam,Potato,3,2021,18.78,0.4168,0.326,0.6066,19.46,83.11,5.72,490.0,0.382,1.212,0.3047,0.36,0.18,0,0.0203,low
72,2021-11-19,Gabès,33.88,9.79,sandy,Olive,11,2021,26.77,0.0246,0.0242,0.0464,19.14,44.19,1.96,242.6,1.2369,0.845,0.0836,0.18,0.06,0,0.9002,extreme
73,2021-03-21,Béja,36.73,9.18,loam,Tomato,3,2021,24.9,0.0796,0.0756,0.1442,18.02,38.54,4.43,335.0,1.2703,0.963,0.1464,0.32,0.12,1,0.9203,extreme
74,2023-11-25,Gabès,33.88,9.79,sandy,Pepper,11,2023,19.04,0.2739,0.2315,0.4348,17.49,64.45,4.66,233.5,0.7105,0.792,0.1407,0.18,0.06,0,0.272,mild
75,2021-07-06,Sidi Bouzid,35.04,9.48,sandy-loam,Pepper,7,2021,37.36,0.0134,0.0133,0.0255,28.58,26.6,1.64,838.3,2.8701,1.973,0.0976,0.28,0.1,1,0.8119,high
76,2021-11-10,Kairouan,35.67,10.1,clay-loam,Olive,11,2021,19.62,0.145,0.1321,0.2507,17.36,63.43,4.8,321.6,0.7249,0.926,0.2596,0.36,0.18,0,0.4018,mild
77,2023-06-26,Kairouan,35.67,10.1,clay-loam,Potato,6,2023,35.02,0.1398,0.1278,0.2426,27.84,35.93,1.53,740.1,2.3998,1.825,0.2493,0.36,0.18,0,0.7355,medium
78,2022-02-25,Gafsa,34.43,8.78,sandy,Olive,2,2022,18.75,0.0978,0.0917,0.1748,13.37,64.79,6.0,251.9,0.5404,0.727,0.1188,0.18,0.06,0,0.7359,medium
79,2023-01-26,Sfax,34.74,10.76,sandy-loam,Barley,1,2023,20.14,0.1356,0.1243,0.236,15.0,57.87,2.76,193.7,0.7185,0.671,0.169,0.28,0.1,0,0.6908,medium
80,2023-07-05,Kairouan,35.67,10.1,clay-loam,Tomato,7,2023,36.95,0.4363,0.3378,0.6279,32.81,48.67,0.91,754.8,2.5541,2.043,0.2827,0.36,0.18,0,0.4374,mild
81,2023-06-09,Gafsa,34.43,8.78,sandy,Barley,6,2023,39.44,0.0647,0.062,0.1184,28.82,24.82,1.39,829.5,2.9796,1.973,0.0761,0.18,0.06,0,0.9472,extreme
82,2021-01-15,Bizerte,37.27,9.87,loam,Olive,1,2021,14.67,0.2071,0.1819,0.3433,15.36,80.78,2.17,222.7,0.3355,0.727,0.2717,0.32,0.12,0,0.0203,low
83,2023-01-06,Sfax,34.74,10.76,sandy-loam,Barley,1,2023,16.16,0.3543,0.2865,0.5351,15.79,83.01,1.58,199.9,0.3049,0.698,0.2742,0.28,0.1,0,0.1305,low
84,2022-07-13,Sidi Bouzid,35.04,9.48,sandy-loam,Tomato,7,2022,33.31,0.475,0.3606,0.6687,31.46,45.7,2.17,807.5,2.5044,2.057,0.2148,0.28,0.1,0,0.2618,mild
85,2022-12-21,Sfax,34.74,10.76,sandy-loam,Potato,12,2022,12.61,0.268,0.2272,0.427,12.52,83.85,1.6,232.7,0.2344,0.68,0.2215,0.28,0.1,0,0.0934,low
86,2023-04-22,Béja,36.73,9.18,loam,Potato,4,2023,19.52,0.4994,0.3745,0.6935,19.26,76.79,5.6,493.6,0.5185,1.21,0.2665,0.32,0.12,0,0.159,low
87,2022-05-14,Sfax,34.74,10.76,sandy-loam,Citrus,5,2022,26.74,0.1856,0.1651,0.3121,23.59,52.34,2.86,572.2,1.3872,1.455,0.1859,0.28,0.1,0,0.3917,mild
88,2023-03-11,Gafsa,34.43,8.78,sandy,Barley,3,2023,16.17,0.3473,0.2818,0.5267,14.08,61.23,2.57,368.9,0.6229,0.9,0.134,0.18,0.06,0,0.3527,mild
89,2022-04-24,Kairouan,35.67,10.1,clay-loam,Pepper,4,2022,26.25,0.2387,0.2058,0.3875,23.34,56.55,4.68,445.2,1.2457,1.275,0.2826,0.36,0.18,0,0.4206,mild
90,2022-11-05,Nabeul,36.45,10.73,sandy,Barley,11,2022,24.93,0.1371,0.1255,0.2383,21.4,52.34,4.46,339.4,1.2146,1.061,0.0997,0.18,0.06,0,0.4991,medium
91,2023-11-04,Sidi Bouzid,35.04,9.48,sandy-loam,Wheat,11,2023,28.61,0.0433,0.0421,0.0806,20.73,47.12,1.11,230.0,1.2932,0.858,0.1206,0.28,0.1,0,0.9196,extreme
92,2021-02-16,Sfax,34.74,10.76,sandy-loam,Citrus,2,2021,20.39,0.2334,0.2019,0.3803,16.27,59.41,5.31,290.9,0.7509,0.854,0.1575,0.28,0.1,1,0.5395,medium
93,2023-02-09,Kairouan,35.67,10.1,clay-loam,Potato,2,2023,15.72,0.1555,0.1408,0.2669,12.73,62.86,2.11,254.2,0.5465,0.715,0.2446,0.36,0.18,0,0.5053,medium
94,2021-05-24,Béja,36.73,9.18,loam,Pepper,5,2021,22.03,0.3392,0.2765,0.517,21.44,61.4,1.08,654.0,0.9861,1.475,0.2845,0.32,0.12,0,0.1651,low
95,2022-03-20,Nabeul,36.45,10.73,sandy,Barley,3,2022,21.93,0.2331,0.2017,0.3799,17.85,49.41,5.43,473.8,1.034,1.14,0.0964,0.18,0.06,1,0.6157,medium
96,2023-09-23,Bizerte,37.27,9.87,loam,Pepper,9,2023,29.97,0.257,0.2193,0.4124,28.05,48.48,4.49,656.8,1.9534,1.727,0.2446,0.32,0.12,0,0.2922,mild
97,2021-01-17,Sfax,34.74,10.76,sandy-loam,Tomato,1,2021,15.7,0.2135,0.1868,0.3524,14.21,76.73,4.78,216.7,0.377,0.692,0.1801,0.28,0.1,0,0.2711,mild
98,2023-09-07,Sidi Bouzid,35.04,9.48,sandy-loam,Pepper,9,2023,34.65,0.2059,0.1809,0.3416,31.26,56.58,2.28,523.9,1.9799,1.65,0.1938,0.28,0.1,0,0.3868,mild
99,2021-02-02,Nabeul,36.45,10.73,sandy,Potato,2,2021,17.37,0.0915,0.0862,0.1643,13.87,55.37,4.54,274.3,0.7073,0.771,0.0889,0.18,0.06,0,0.536,medium
100,2021-03-16,Sidi Bouzid,35.04,9.48,sandy-loam,Pepper,3,2021,17.44,0.3514,0.2845,0.5316,16.28,69.59,5.81,402.1,0.5629,1.004,0.2557,0.28,0.1,0,0.2146,low
101,2022-07-11,Gabès,33.88,9.79,sandy,Tomato,7,2022,40.13,0.2465,0.2116,0.3983,32.33,35.59,2.87,886.8,3.1202,2.194,0.1029,0.18,0.06,0,0.6756,medium
102,2023-09-23,Gafsa,34.43,8.78,sandy,Pepper,9,2023,30.22,0.2349,0.2029,0.3823,27.77,60.63,2.43,605.3,1.4678,1.647,0.1291,0.18,0.06,0,0.3552,mild
103,2021-11-09,Kairouan,35.67,10.1,clay-loam,Tomato,11,2021,25.12,0.1484,0.1349,0.2559,21.15,63.32,2.25,246.1,0.9206,0.898,0.2391,0.36,0.18,0,0.532,medium
104,2021-06-18,Gafsa,34.43,8.78,sandy,Potato,6,2021,28.92,0.2156,0.1884,0.3554,24.99,51.51,4.05,843.9,1.5355,1.827,0.1347,0.18,0.06,0,0.4728,mild
105,2021-02-13,Kairouan,35.67,10.1,clay-loam,Pepper,2,2021,16.04,0.1622,0.1463,0.2772,13.66,65.06,1.26,275.2,0.5463,0.767,0.2528,0.36,0.18,0,0.4134,mild
106,2021-03-17,Sfax,34.74,10.76,sandy-loam,Olive,3,2021,18.98,0.2148,0.1878,0.3542,18.76,77.2,3.44,414.9,0.4937,1.094,0.2357,0.28,0.1,0,0.1558,low
107,2023-04-02,Sidi Bouzid,35.04,9.48,sandy-loam,Pepper,4,2023,26.82,0.1227,0.1134,0.2155,22.62,52.59,4.69,485.8,1.3017,1.309,0.1585,0.28,0.1,1,0.5063,medium
108,2023-02-07,Nabeul,36.45,10.73,sandy,Potato,2,2023,20.88,0.0155,0.0153,0.0295,14.05,44.64,4.44,284.6,0.8879,0.79,0.0621,0.18,0.06,1,0.9745,extreme
109,2022-07-13,Bizerte,37.27,9.87,loam,Tomato,7,2022,37.55,0.2074,0.1821,0.3437,31.15,29.37,0.68,829.6,3.1999,2.072,0.1744,0.32,0.12,1,0.6535,medium
110,2021-03-18,Sidi Bouzid,35.04,9.48,sandy-loam,Barley,3,2021,14.12,0.5363,0.3948,0.7297,13.64,74.95,4.91,463.0,0.3913,0.994,0.2687,0.28,0.1,0,0.1708,low
111,2023-04-24,Gafsa,34.43,8.78,sandy,Tomato,4,2023,25.15,0.1936,0.1714,0.3239,23.26,68.05,2.84,524.0,0.9116,1.381,0.1163,0.18,0.06,0,0.3097,mild
112,2023-04-24,Kairouan,35.67,10.1,clay-loam,Wheat,4,2023,19.27,0.496,0.3726,0.69,18.79,69.84,1.28,476.7,0.6542,1.174,0.3221,0.36,0.18,0,0.2124,low
113,2022-11-14,Sfax,34.74,10.76,sandy-loam,Potato,11,2022,25.09,0.092,0.0866,0.1651,21.16,65.0,4.72,281.6,0.8788,0.961,0.1287,0.28,0.1,1,0.5743,medium
114,2022-10-19,Nabeul,36.45,10.73,sandy,Wheat,10,2022,24.56,0.2866,0.2405,0.4513,24.67,74.92,0.58,524.9,0.779,1.43,0.1459,0.18,0.06,0,0.1499,low
115,2023-11-06,Gafsa,34.43,8.78,sandy,Pepper,11,2023,21.45,0.0818,0.0776,0.1479,15.87,54.77,3.65,302.7,0.8159,0.861,0.076,0.18,0.06,1,0.6845,medium
116,2023-06-04,Kairouan,35.67,10.1,clay-loam,Potato,6,2023,31.98,0.3479,0.2822,0.5274,32.09,53.42,2.13,794.5,2.2266,2.067,0.342,0.36,0.18,0,0.088,low
117,2022-09-05,Bizerte,37.27,9.87,loam,Wheat,9,2022,31.27,0.0285,0.0279,0.0535,23.9,37.75,3.89,543.9,1.8461,1.429,0.1283,0.32,0.12,1,0.9217,extreme
118,2023-09-02,Kairouan,35.67,10.1,clay-loam,Potato,9,2023,25.67,0.3662,0.2942,0.5491,25.32,70.36,5.58,603.5,0.9571,1.557,0.3453,0.36,0.18,0,0.1606,low
119,2023-03-20,Sidi Bouzid,35.04,9.48,sandy-loam,Citrus,3,2023,18.22,0.1214,0.1122,0.2133,16.3,72.19,4.48,408.3,0.5154,1.013,0.1712,0.28,0.1,0,0.3334,mild
120,2022-02-03,Nabeul,36.45,10.73,sandy,Citrus,2,2022,17.3,0.3695,0.2963,0.553,15.32,70.75,3.22,362.4,0.5093,0.927,0.1357,0.18,0.06,0,0.352,mild
121,2022-03-09,Nabeul,36.45,10.73,sandy,Barley,3,2022,21.41,0.0749,0.0713,0.1361,18.19,55.42,1.01,429.6,0.931,1.096,0.074,0.18,0.06,1,0.5062,medium
122,2022-06-20,Nabeul,36.45,10.73,sandy,Pepper,6,2022,37.22,0.2558,0.2184,0.4108,31.23,44.31,1.65,786.2,2.5344,2.02,0.1026,0.18,0.06,0,0.6339,medium
123,2022-07-26,Kairouan,35.67,10.1,clay-loam,Pepper,7,2022,38.82,0.3529,0.2855,0.5334,34.22,37.61,4.04,781.4,3.3604,2.137,0.2673,0.36,0.18,0,0.4495,mild
124,2021-01-25,Sfax,34.74,10.76,sandy-loam,Pepper,1,2021,16.41,0.1966,0.1737,0.3283,15.01,68.15,1.69,237.9,0.5437,0.744,0.1807,0.28,0.1,0,0.2601,mild
125,2021-04-17,Béja,36.73,9.18,loam,Pepper,4,2021,18.88,0.2916,0.244,0.4577,19.44,69.21,0.89,614.6,0.6955,1.357,0.2635,0.32,0.12,0,0.0928,low
126,2023-09-09,Gafsa,34.43,8.78,sandy,Citrus,9,2023,39.5,0.1178,0.1091,0.2075,32.38,44.38,4.55,606.1,2.7018,1.815,0.0817,0.18,0.06,0,0.691,medium
127,2023-09-01,Gafsa,34.43,8.78,sandy,Pepper,9,2023,36.6,0.1958,0.1731,0.3271,32.04,52.38,1.1,644.2,2.2698,1.859,0.1228,0.18,0.06,0,0.4731,mild
128,2023-04-27,Sfax,34.74,10.76,sandy-loam,Olive,4,2023,20.45,0.1889,0.1677,0.317,19.25,60.01,0.95,649.5,0.8925,1.388,0.2277,0.28,0.1,0,0.2587,mild
129,2023-04-25,Nabeul,36.45,10.73,sandy,Barley,4,2023,22.87,0.0251,0.0247,0.0473,15.51,42.22,3.05,460.8,1.0181,1.051,0.0595,0.18,0.06,1,0.9706,extreme
130,2022-08-20,Sfax,34.74,10.76,sandy-loam,Tomato,8,2022,34.46,0.2818,0.2371,0.4451,31.91,41.23,1.76,731.5,2.7802,1.976,0.1648,0.28,0.1,0,0.3107,mild
131,2022-01-06,Kairouan,35.67,10.1,clay-loam,Citrus,1,2022,13.35,0.4967,0.3729,0.6907,13.89,86.04,5.18,241.7,0.2216,0.724,0.3341,0.36,0.18,0,0.0733,low
